Season,Name,Age,Inf,RF Matches,Position,Club,Ability,Potential,Transfer Value (Low),Transfer Value (High),Hdrs A,Tck/90,Tck C,Tck A,Tck R,Shot/90,Shot %,ShT/90,ShT,Shots Outside Box/90,Shts Blckd/90,Shts Blckd,Shots,Svt,Svp,Svh,Sv %,Pr passes/90,Pr Passes,Pres C/90,Pres C,Pres A/90,Pres A,Poss Won/90,Poss Lost/90,Ps C/90,Ps C,Ps A/90,Pas A,Pas %,OP-KP/90,OP-KP,OP-Crs C/90,OP-Crs C,OP-Crs A/90,OP-Crs A,OP-Cr %,Off,Gl Mst,K Tck/90,K Tck,K Ps/90,K Pas,K Hdrs/90,Int/90,Itc,Sprints/90,Hdr %,Hdrs W/90,Hdrs,Hdrs L/90,Goals Outside Box,FK Shots,xSv %,xGP/90,xGP,xG/shot,Drb/90,Drb,Dist/90,Distance,Cr C/90,Cr C,Crs A/90,Cr A,Cr C/A,Conv %,Clr/90,Clear,CCC,Ch C/90,Blk/90,Blk,Asts/90,Aer A/90,Apps (Total),Apps (Sub Apps),Yel,xG,Saves/90,Tgls/90,Tcon/90,Tall,Tgls,Starts,Shutouts,Red,Pts/Gm,PoM,Pen/R,Pens S,Pens Saved Ratio,Pens Saved,Pens Faced,Pens,NP-xG/90,NP-xG,Last Gl,Last C,Mins/Gm,Mins,Last 5 Games,Last 5 FT Games,Int Conc,Int Av Rat,Int Ast,Int Apps (Total),Int Apps (Sub Apps),Gls/90,All/90,Conc,Gls,Won,G. Mis,Lost,D,Gwin,Fls,FA,xG/90,xG-OP,xA/90,xA,Cln/90,Av Rat,Mins/Gl,Ast,Rec,Acc
2025-2026,- -,19,Sct,Ricardo Camacho (4/1/2026),,,,,71000000.0,87000000.0,31.0,2.89,26.0,30.0,87.0,2.44,50.0,1.22,11.0,1.0,0.0,0.0,22.0,,,,,3.22,29.0,3.89,35.0,10.89,98.0,6.67,17.56,28.67,258.0,33.44,301.0,86.0,1.78,16.0,0.89,8.0,2.89,26.0,31.0,1.0,0.0,0.0,0.0,1.78,16.0,0.0,2.11,19.0,15.56,19.0,0.67,6.0,2.78,0.0,0.0,,,,0.21,2.89,26.0,8.1,73.3,0.89,8.0,2.89,26.0,30.0,18.0,0.67,6.0,5.0,0.56,0.11,1.0,0.22,3.44,17.0,10.0,0.0,4.65,,1.67,1.11,,15.0,7.0,,0.0,1.88,2.0,,0.0,,,,0.0,0.52,4.65,300.0,,47.65,810.0,,,,7.42,1.0,4.0,0.0,0.44,,,4.0,10.0,,5.0,2.0,59.0,4.0,11.0,0.52,-0.65,0.27,2.42,,7.28,202.5,2.0,- - -,15.0
2025-2026,- -,18,Inj,,,,,,25000000.0,29000000.0,265.0,1.15,39.0,46.0,85.0,2.99,47.0,1.39,47.0,0.83,0.0,0.0,101.0,,,,,0.95,32.0,1.6,54.0,7.39,250.0,4.02,10.56,20.67,699.0,23.77,804.0,87.0,0.62,21.0,0.09,3.0,0.8,27.0,15.0,20.0,0.0,0.03,1.0,0.71,24.0,0.03,0.98,33.0,7.21,23.0,1.77,60.0,6.06,1.0,3.0,,,,0.13,1.12,38.0,7.2,242.6,0.21,7.0,1.39,47.0,11.0,14.0,0.38,13.0,5.0,0.15,0.3,10.0,0.09,7.84,38.0,0.0,0.0,12.9,,1.8,1.42,,61.0,38.0,,0.0,1.53,2.0,,0.0,,,,0.0,0.38,12.9,0.0,,80.11,3044.0,,,,,,,,0.41,,,14.0,17.0,,14.0,7.0,45.0,40.0,98.0,0.38,1.1,0.08,2.75,,6.85,217.43,3.0,- - -,14.0
2025-2026,- -,20,,5 Focuses,,,,,39000000.0,55000000.0,9.0,2.94,8.0,10.0,80.0,1.47,0.0,0.0,0.0,0.37,0.0,0.0,4.0,,,,,5.14,14.0,2.94,8.0,10.65,29.0,5.14,15.8,35.27,96.0,41.88,114.0,84.0,2.94,8.0,1.84,5.0,6.24,17.0,29.0,3.0,0.0,0.0,0.0,2.94,8.0,0.0,1.1,3.0,13.22,0.0,0.0,0.0,3.31,0.0,0.0,,,,0.09,4.04,11.0,7.9,21.6,1.84,5.0,6.24,17.0,29.0,,0.73,2.0,5.0,1.84,,0.0,1.1,3.31,4.0,1.0,0.0,0.35,,3.31,1.1,,9.0,3.0,,0.0,2.1,0.0,,0.0,,,,0.0,0.13,0.35,,,61.25,245.0,,,,6.7,0.0,2.0,0.0,,,,0.0,4.0,,0.0,0.0,100.0,4.0,4.0,0.13,-0.35,0.21,0.56,,7.35,,3.0,- - -,16.0
2025-2026,- -,22,Int,2 Focuses,,,,,95000000.0,114000000.0,146.0,2.7,94.0,107.0,88.0,1.58,35.0,0.55,19.0,0.6,0.03,1.0,55.0,,,,,2.85,99.0,3.57,124.0,13.44,467.0,5.64,16.2,32.89,1143.0,38.12,1325.0,86.0,1.24,43.0,0.49,17.0,3.94,137.0,16.0,10.0,0.0,0.0,0.0,1.58,55.0,0.09,2.01,70.0,14.99,40.0,1.7,59.0,2.5,1.0,1.0,,,,0.12,3.97,138.0,8.2,283.3,1.06,37.0,6.85,238.0,12.0,15.0,0.63,22.0,19.0,0.55,0.2,7.0,0.23,4.2,42.0,2.0,3.0,6.44,,1.55,1.27,,54.0,40.0,,0.0,1.6,2.0,,0.0,,,,0.0,0.19,6.44,220.0,,74.48,3128.0,,,,7.55,1.0,10.0,0.0,0.23,,,8.0,19.0,,13.0,10.0,45.0,47.0,38.0,0.19,1.56,0.18,6.15,,7.1,391.0,8.0,- - -,16.0
2025-2026,- -,23,,4 Focuses,,,,,40000000.0,47000000.0,56.0,1.59,13.0,16.0,81.0,0.12,0.0,0.0,0.0,0.0,0.61,5.0,1.0,,,,,4.52,37.0,1.59,13.0,3.79,31.0,10.87,4.52,63.99,524.0,68.87,564.0,93.0,0.85,7.0,0.24,2.0,0.37,3.0,67.0,0.0,0.0,0.24,2.0,0.85,7.0,0.49,1.59,13.0,6.23,71.0,4.88,40.0,1.95,0.0,0.0,,,,0.12,0.24,2.0,7.8,63.8,0.24,2.0,0.37,3.0,66.0,,0.61,5.0,2.0,0.24,0.49,4.0,0.12,6.84,20.0,15.0,0.0,0.12,,2.08,1.71,,17.0,5.0,,1.0,1.45,0.0,,0.0,,,,0.0,0.01,0.12,,,36.85,737.0,,,,,,,,,,,0.0,8.0,,7.0,5.0,40.0,4.0,2.0,0.01,-0.12,0.04,0.35,,6.64,,1.0,- - -,15.0
2025-2026,- -,24,Wnt,,,,,,42000000.0,50000000.0,9.0,2.59,4.0,4.0,100.0,1.94,100.0,1.94,3.0,0.65,0.0,0.0,3.0,,,,,1.94,3.0,4.53,7.0,14.24,22.0,2.59,19.42,34.96,54.0,40.14,62.0,87.0,0.65,1.0,0.65,1.0,2.59,4.0,25.0,2.0,0.0,0.0,0.0,0.65,1.0,0.0,,0.0,16.19,67.0,3.88,6.0,1.94,0.0,0.0,,,,0.07,5.83,9.0,8.5,13.2,0.65,1.0,2.59,4.0,25.0,,0.0,0.0,0.0,,,0.0,,5.83,5.0,4.0,0.0,0.21,,0.0,0.65,,0.0,1.0,,0.0,1.55,0.0,,0.0,,,,0.0,0.14,0.21,,,27.8,139.0,,,,,,,,,,,0.0,2.0,,1.0,2.0,40.0,1.0,0.0,0.14,-0.21,0.0,0.0,,7.6,,0.0,- - -,14.0
2025-2026,- -,18,Int,Luis Ferrer (3/6/2026),,,,,27000000.0,39000000.0,0.0,2.01,67.0,82.0,82.0,0.39,23.0,0.09,3.0,0.0,0.0,0.0,13.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.63,487.0,20.43,680.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,0.11,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,8.0,0.0,0.0,0.0,,,0.0,0.21,,34.0,1.0,2.0,1.49,,0.0,0.0,,0.0,33.0,,1.0,1.0,3.0,,0.0,,,,0.0,0.04,1.49,0.0,,88.12,2996.0,,,,,,,,0.03,,,1.0,0.0,,0.0,34.0,0.0,55.0,40.0,0.04,-0.49,0.09,2.93,,7.28,2996.0,7.0,- - -,11.0
2025-2026,- -,25,Wnt,5 Focuses,,,,,61000000.0,73000000.0,163.0,1.75,61.0,73.0,84.0,3.01,38.0,1.15,40.0,1.06,0.0,0.0,105.0,,,,,1.61,56.0,2.56,89.0,10.77,375.0,10.85,15.47,28.56,995.0,33.27,1159.0,86.0,0.86,30.0,0.06,2.0,0.83,29.0,7.0,5.0,0.0,0.03,1.0,0.86,30.0,0.03,1.87,65.0,13.69,34.0,1.61,56.0,3.07,8.0,0.0,,,,0.11,2.04,71.0,8.4,292.1,0.06,2.0,0.83,29.0,6.0,8.0,0.52,18.0,11.0,0.32,0.26,9.0,0.23,4.68,41.0,5.0,0.0,11.96,,1.41,1.0,,49.0,36.0,,0.0,1.56,0.0,,0.0,,,,0.0,0.34,11.96,179.0,,76.46,3135.0,,,,,,,,0.23,,,8.0,19.0,,15.0,7.0,46.0,18.0,27.0,0.34,-3.96,0.13,4.5,,6.97,391.88,8.0,- - -,15.0
2025-2026,- -,23,,5 Focuses,,,,,55000000.0,77000000.0,180.0,2.57,100.0,118.0,85.0,1.56,48.0,0.74,29.0,0.69,0.0,0.0,61.0,,,,,2.82,110.0,3.18,124.0,12.96,505.0,6.31,15.44,31.51,1228.0,37.77,1472.0,83.0,1.26,49.0,0.44,17.0,2.67,104.0,16.0,12.0,0.0,0.08,3.0,1.31,51.0,0.1,1.77,69.0,17.16,34.0,1.56,61.0,3.05,5.0,2.0,,,,0.11,2.8,109.0,8.4,327.5,0.44,17.0,2.67,104.0,16.0,21.0,0.67,26.0,16.0,0.41,0.28,11.0,0.13,4.62,50.0,0.0,4.0,6.97,,1.56,1.05,,61.0,50.0,,0.0,1.68,2.0,,0.0,,,,0.0,0.18,6.97,147.0,,70.16,3508.0,,,,,,,,0.33,,,13.0,24.0,,14.0,12.0,48.0,56.0,54.0,0.18,6.03,0.1,3.98,,7.01,269.85,5.0,- - -,15.0
2025-2026,- -,17,,2 Focuses,,,,,18000000.0,25000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- - -,11.0
2025-2026,- -,18,,Bojan Krkic (3/16/2026),,,,,13000000.0,18500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- - -,9.0
2025-2026,- -,18,,Bojan Krkic (3/16/2026),,,,,4300000.0,7800000.0,1.0,,,0.0,,,100.0,,1.0,,,0.0,1.0,,,,,,0.0,,0.0,,2.0,,,,7.0,,8.0,88.0,,1.0,,0.0,,0.0,,0.0,0.0,,0.0,,1.0,,,0.0,,0.0,,0.0,,0.0,0.0,,,,0.08,,0.0,,0.8,,0.0,,0.0,,,,0.0,0.0,,,0.0,,,2.0,2.0,0.0,0.08,,,,,1.0,,,0.0,,0.0,,0.0,,,,0.0,,0.08,,,11.0,22.0,,,,,,,,,,,0.0,1.0,,0.0,1.0,50.0,0.0,0.0,,-0.08,,0.0,,7.1,,1.0,- - -,10.0
2025-2026,- -,22,,3 Focuses,,,,,52000000.0,63000000.0,5.0,1.72,4.0,5.0,80.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,4.74,11.0,2.15,5.0,9.47,22.0,10.33,7.32,49.09,114.0,53.83,125.0,91.0,0.86,2.0,0.86,2.0,1.72,4.0,50.0,0.0,0.0,0.0,0.0,0.86,2.0,0.43,1.72,4.0,11.63,20.0,0.43,1.0,1.72,0.0,0.0,,,,0.1,,0.0,8.9,20.6,0.86,2.0,1.72,4.0,50.0,,0.0,0.0,1.0,0.43,,0.0,0.43,2.15,4.0,2.0,0.0,0.19,,1.72,2.58,,4.0,2.0,,0.0,1.6,0.0,,0.0,,,,0.0,0.08,0.19,,,52.25,209.0,,,,7.03,3.0,6.0,0.0,,,,0.0,2.0,,1.0,1.0,50.0,0.0,3.0,0.08,-0.19,0.36,0.84,,6.75,,1.0,- - -,13.0
2025-2026,- -,18,Int,Florian Zahn (2/24/2026),,,,,Not for Sale,Not for Sale,138.0,1.56,28.0,31.0,90.0,0.11,0.0,0.0,0.0,0.06,0.72,13.0,2.0,,,,,3.83,69.0,1.22,22.0,3.89,70.0,10.11,4.39,49.72,895.0,55.94,1007.0,89.0,0.11,2.0,0.0,0.0,0.5,9.0,0.0,0.0,0.0,0.5,9.0,0.11,2.0,0.94,1.28,23.0,6.67,72.0,5.56,100.0,2.11,0.0,0.0,,,,0.04,0.11,2.0,7.1,128.1,0.0,0.0,0.5,9.0,,,2.11,38.0,1.0,0.06,0.56,10.0,,7.67,18.0,0.0,0.0,0.07,,0.89,1.67,,16.0,18.0,,0.0,0.89,0.0,,0.0,,,,0.0,0.0,0.07,,,90.0,1620.0,,,,6.9,0.0,1.0,0.0,,,,0.0,4.0,,10.0,4.0,22.0,5.0,6.0,0.0,-0.07,0.07,1.18,,6.71,,0.0,- - -,12.0
2025-2026,- -,20,,4 Focuses,,,,,46000000.0,65000000.0,17.0,2.98,10.0,12.0,83.0,2.09,71.0,1.49,5.0,1.19,0.0,0.0,7.0,,,,,3.58,12.0,5.66,19.0,14.6,49.0,2.68,22.05,28.01,94.0,32.48,109.0,86.0,1.79,6.0,0.0,0.0,1.49,5.0,0.0,1.0,0.0,0.0,0.0,1.79,6.0,0.3,1.19,4.0,11.62,6.0,0.3,1.0,4.77,0.0,0.0,,,,0.04,3.28,11.0,7.8,26.3,0.0,0.0,1.49,5.0,,14.0,0.6,2.0,1.0,0.3,0.6,2.0,,5.07,6.0,4.0,1.0,0.27,,1.49,0.6,,5.0,2.0,,0.0,2.1,0.0,,0.0,,,,0.0,0.08,0.27,160.0,,50.33,302.0,,,,,0.0,1.0,1.0,0.3,,,1.0,5.0,,1.0,0.0,83.0,3.0,5.0,0.08,0.73,0.15,0.49,,6.92,302.0,0.0,- - -,14.0
2025-2026,- -,22,Wnt,5 Focuses,,,,,59000000.0,83000000.0,27.0,1.68,14.0,18.0,78.0,1.2,30.0,0.36,3.0,0.12,0.0,0.0,10.0,,,,,4.44,37.0,2.04,17.0,10.92,91.0,10.56,9.6,40.44,337.0,47.4,395.0,85.0,1.92,16.0,0.12,1.0,0.48,4.0,8.0,1.0,0.0,0.0,0.0,2.16,18.0,0.0,1.56,13.0,11.04,52.0,1.68,14.0,1.56,0.0,0.0,,,,0.23,1.2,10.0,7.6,63.4,0.12,1.0,1.56,13.0,25.0,,0.12,1.0,3.0,0.36,,0.0,0.12,3.24,29.0,26.0,1.0,2.26,,0.84,0.72,,7.0,3.0,,0.0,1.69,0.0,,0.0,,,,0.0,0.27,2.26,,,25.86,750.0,,,,,,,,,,,0.0,13.0,,6.0,10.0,45.0,8.0,6.0,0.27,-2.26,0.2,1.68,,6.62,,1.0,- - -,13.0
2025-2026,- -,18,,,,,,,9600000.0,12000000.0,26.0,2.18,10.0,10.0,100.0,1.96,67.0,1.31,6.0,0.87,0.0,0.0,9.0,,,,,1.74,8.0,2.4,11.0,8.06,37.0,8.06,18.09,23.32,107.0,29.42,135.0,79.0,1.31,6.0,0.22,1.0,1.53,7.0,14.0,2.0,0.0,0.0,0.0,1.31,6.0,0.0,1.53,7.0,9.15,12.0,0.65,3.0,5.01,0.0,0.0,,,,0.06,1.53,7.0,7.6,35.0,0.22,1.0,1.53,7.0,14.0,11.0,0.22,1.0,0.0,,0.22,1.0,0.22,5.67,12.0,6.0,0.0,0.56,,1.31,1.31,,6.0,6.0,,0.0,1.58,0.0,,0.0,,,,0.0,0.12,0.56,111.0,,34.42,413.0,,,,,,,,0.22,,,1.0,5.0,,3.0,4.0,42.0,4.0,4.0,0.12,0.44,0.06,0.27,,6.62,413.0,1.0,- - -,14.0
2025-2026,- -,27,Int,,,,,,63000000.0,78000000.0,239.0,1.17,36.0,43.0,84.0,3.55,54.0,1.92,59.0,1.37,0.0,0.0,109.0,,,,,0.42,13.0,1.4,43.0,6.87,211.0,1.5,25.61,18.12,557.0,21.15,650.0,86.0,0.36,11.0,0.03,1.0,0.39,12.0,8.0,21.0,0.0,0.0,0.0,0.46,14.0,0.1,1.04,32.0,6.48,61.0,4.75,146.0,3.03,4.0,2.0,,,,0.09,1.33,41.0,7.5,229.5,0.03,1.0,0.39,12.0,8.0,11.0,0.26,8.0,6.0,0.2,0.07,2.0,0.1,7.78,33.0,0.0,1.0,10.06,,1.2,0.88,,37.0,33.0,,0.0,1.7,2.0,,0.0,,,,0.0,0.33,10.06,0.0,,83.82,2766.0,,,,7.12,0.0,6.0,0.0,0.39,,,12.0,16.0,,9.0,8.0,48.0,37.0,86.0,0.33,1.94,0.12,3.66,,6.92,230.5,3.0,- - -,12.0
2025-2026,- -,29,Int,,,,,,49000000.0,60000000.0,94.0,2.62,59.0,71.0,83.0,0.22,60.0,0.13,3.0,0.04,0.4,9.0,5.0,,,,,5.47,123.0,2.76,62.0,8.22,185.0,13.24,11.73,53.16,1196.0,59.78,1345.0,89.0,0.84,19.0,0.27,6.0,1.82,41.0,15.0,1.0,0.0,0.31,7.0,0.84,19.0,0.27,1.91,43.0,14.27,72.0,3.02,68.0,1.16,0.0,0.0,,,,0.08,1.87,42.0,8.0,181.1,0.27,6.0,1.82,41.0,14.0,20.0,1.33,30.0,4.0,0.18,0.67,15.0,0.09,4.18,36.0,16.0,5.0,0.39,,2.09,0.8,,47.0,20.0,,0.0,2.28,1.0,,0.0,,,,0.0,0.02,0.39,956.0,,56.25,2025.0,,,,6.88,1.0,6.0,0.0,0.04,,,1.0,25.0,,4.0,7.0,69.0,29.0,22.0,0.02,0.61,0.1,2.23,,6.98,2025.0,2.0,- - -,15.0
2025-2026,- -,23,Int,2 Focuses,,,,,80000000.0,96000000.0,151.0,2.67,91.0,118.0,77.0,0.41,36.0,0.15,5.0,0.21,0.65,22.0,14.0,,,,,7.22,246.0,2.05,70.0,8.25,281.0,11.86,12.24,43.09,1468.0,48.05,1637.0,90.0,0.88,30.0,0.21,7.0,1.23,42.0,16.0,3.0,0.0,0.12,4.0,0.88,30.0,0.41,3.2,109.0,15.35,69.0,3.05,104.0,1.38,0.0,0.0,,,,0.09,2.03,69.0,8.0,273.8,0.21,7.0,1.26,43.0,16.0,14.0,1.03,35.0,7.0,0.21,0.62,21.0,,4.43,39.0,1.0,8.0,1.2,,1.12,1.88,,38.0,38.0,,1.0,0.97,0.0,,0.0,,,,0.0,0.04,1.2,2640.0,,78.62,3066.0,,,,7.0,0.0,6.0,0.0,0.06,,,2.0,9.0,,19.0,11.0,23.0,53.0,25.0,0.04,0.8,0.06,1.9,,6.88,1533.0,0.0,- - -,15.0
2025-2026,- -,18,Inj,Vito Leccese,,,,,11500000.0,16500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- - -,15.0
2025-2026,- -,32,Int,,,,,,22000000.0,30000000.0,229.0,1.6,67.0,83.0,81.0,1.05,27.0,0.29,12.0,0.38,0.24,10.0,44.0,,,,,4.72,198.0,1.84,77.0,7.08,297.0,21.27,2.19,55.53,2329.0,61.37,2574.0,90.0,0.95,40.0,0.12,5.0,0.24,10.0,50.0,3.0,0.0,0.12,5.0,0.95,40.0,0.76,1.22,51.0,9.23,62.0,3.36,141.0,2.1,0.0,0.0,,,,0.08,0.33,14.0,7.7,320.9,0.12,5.0,0.24,10.0,50.0,11.0,0.72,30.0,12.0,0.29,0.43,18.0,0.21,5.46,47.0,5.0,7.0,3.48,,2.72,0.36,,114.0,42.0,,0.0,2.7,4.0,,0.0,,,,0.0,0.08,3.48,0.0,,80.32,3775.0,,,,7.1,0.0,2.0,1.0,0.12,,,5.0,42.0,,4.0,1.0,89.0,66.0,23.0,0.08,1.52,0.25,10.54,,7.24,755.0,9.0,- - -,11.0
2025-2026,- -,18,Int,Vito Leccese (5/12/2026),,,,,15500000.0,19000000.0,7.0,2.0,2.0,2.0,100.0,,,,,0.0,0.0,0.0,0.0,,,,,5.0,5.0,2.0,2.0,7.0,7.0,6.0,25.0,49.0,49.0,49.0,49.0,100.0,0.0,0.0,1.0,1.0,2.0,2.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,15.0,57.0,4.0,4.0,3.0,0.0,0.0,,,,0.0,3.0,3.0,8.1,8.1,1.0,1.0,2.0,2.0,50.0,,1.0,1.0,0.0,,,0.0,,7.0,1.0,0.0,0.0,0.0,,0.0,1.0,,0.0,1.0,,0.0,1.35,0.0,,0.0,,,,0.0,0.0,0.0,,,90.0,90.0,,,,6.8,0.0,2.0,2.0,,,,0.0,0.0,,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,7.2,,0.0,- - -,16.0
2025-2026,- -,26,,,,,,,39000000.0,57000000.0,64.0,2.61,35.0,42.0,83.0,3.43,43.0,1.49,20.0,1.12,0.15,2.0,46.0,,,,,3.06,41.0,3.96,53.0,12.54,168.0,6.64,16.19,34.7,465.0,42.31,567.0,82.0,1.49,20.0,0.52,7.0,2.31,31.0,24.0,4.0,0.0,0.0,0.0,1.94,26.0,0.0,1.42,19.0,17.61,8.0,0.37,5.0,4.4,3.0,2.0,,,,0.11,3.13,42.0,8.6,115.1,0.67,9.0,2.76,37.0,22.0,13.0,0.67,9.0,9.0,0.67,0.3,4.0,0.52,4.78,32.0,24.0,0.0,5.11,,2.09,1.49,,28.0,8.0,,0.0,1.62,3.0,,0.0,,,,0.0,0.38,5.11,63.0,,37.69,1206.0,,,,,,,,0.45,,,6.0,14.0,,8.0,10.0,44.0,17.0,17.0,0.38,0.89,0.24,3.25,,7.29,201.0,7.0,- - -,13.0
2025-2026,- -,20,,,,,,,67000000.0,82000000.0,192.0,1.1,33.0,44.0,75.0,0.5,27.0,0.13,4.0,0.1,0.83,25.0,15.0,,,,,3.97,119.0,0.93,28.0,2.87,86.0,14.4,3.27,53.8,1614.0,57.77,1733.0,93.0,0.23,7.0,0.0,0.0,0.1,3.0,0.0,0.0,1.0,0.17,5.0,0.23,7.0,0.73,1.67,50.0,4.83,73.0,4.7,141.0,1.7,1.0,0.0,,,,0.1,0.33,10.0,6.5,193.9,0.0,0.0,0.1,3.0,,7.0,0.73,22.0,3.0,0.1,0.57,17.0,0.07,6.4,30.0,0.0,2.0,1.56,,1.33,0.87,,40.0,30.0,,0.0,1.5,0.0,,0.0,,,,0.0,0.05,1.56,0.0,,90.0,2700.0,,,,,,,,0.03,,,1.0,10.0,,5.0,15.0,33.0,13.0,13.0,0.05,-0.56,0.03,0.9,,6.83,2700.0,2.0,- - -,14.0
2025-2026,- -,20,Wnt,Gaby Ruiz (3/14/2026),,,,,28000000.0,34000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- - -,15.0
2025-2026,- -,23,Int,,,,,,17000000.0,19500000.0,82.0,2.03,69.0,81.0,85.0,0.53,22.0,0.12,4.0,0.0,0.09,3.0,18.0,,,,,0.88,30.0,0.53,18.0,1.85,63.0,4.32,2.29,20.5,697.0,26.35,896.0,78.0,0.09,3.0,0.0,0.0,0.09,3.0,0.0,0.0,0.0,0.15,5.0,0.12,4.0,0.44,0.44,15.0,2.06,68.0,1.65,56.0,0.76,0.0,0.0,,,,0.1,0.15,5.0,2.2,74.9,0.0,0.0,0.09,3.0,,6.0,0.41,14.0,0.0,,0.18,6.0,0.09,2.41,34.0,0.0,0.0,1.89,,0.32,0.56,,11.0,34.0,,0.0,0.91,2.0,,0.0,,,,0.0,0.06,1.89,0.0,,90.0,3060.0,,,,7.03,0.0,7.0,0.0,0.03,,,1.0,2.0,,7.0,25.0,6.0,27.0,39.0,0.06,-0.89,0.01,0.24,,7.23,3060.0,3.0,- - -,16.0
2025-2026,- -,22,Int,Ricardo Camacho (4/29/2026),,,,,87000000.0,103000000.0,17.0,0.55,3.0,8.0,38.0,2.21,42.0,0.92,5.0,0.37,0.37,2.0,12.0,,,,,2.58,14.0,2.95,16.0,10.14,55.0,8.67,12.54,28.95,157.0,34.49,187.0,84.0,1.66,9.0,0.18,1.0,0.74,4.0,25.0,1.0,0.0,0.0,0.0,1.66,9.0,0.0,0.92,5.0,16.97,12.0,0.37,2.0,2.77,0.0,0.0,,,,0.11,1.66,9.0,9.0,48.5,0.18,1.0,0.74,4.0,25.0,8.0,0.37,2.0,3.0,0.55,0.74,4.0,,3.14,11.0,6.0,1.0,1.31,,1.48,0.37,,8.0,5.0,,0.0,1.91,0.0,100.0,1.0,,,,1.0,0.24,1.31,466.0,,44.36,488.0,,,,7.18,2.0,6.0,0.0,0.18,,,1.0,6.0,,2.0,3.0,55.0,8.0,5.0,0.24,-0.31,0.12,0.65,,6.98,488.0,0.0,- - -,13.0
2025-2026,- -,17,,Javier Ribalta (3/25/2026),,,,,5600000.0,8000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- - -,11.0
2025-2026,- -,21,,,,,,,31000000.0,46000000.0,5.0,4.95,6.0,6.0,100.0,0.83,100.0,0.83,1.0,0.83,0.0,0.0,1.0,,,,,4.13,5.0,4.13,5.0,12.39,15.0,10.73,13.21,59.45,72.0,66.06,80.0,90.0,1.65,2.0,1.65,2.0,2.48,3.0,67.0,1.0,0.0,0.0,0.0,1.65,2.0,0.0,3.3,4.0,15.69,80.0,3.3,4.0,0.83,0.0,0.0,,,,0.06,2.48,3.0,9.7,11.8,1.65,2.0,2.48,3.0,66.0,100.0,1.65,2.0,0.0,,,0.0,0.83,4.13,7.0,7.0,0.0,0.06,,4.13,0.83,,5.0,,,0.0,2.55,0.0,,0.0,,,,0.0,0.05,0.06,34.0,,15.57,109.0,,,,,,,,0.83,,,1.0,7.0,,0.0,0.0,100.0,2.0,0.0,0.05,0.94,0.07,0.09,,6.83,109.0,1.0,- - -,14.0
2025-2026,- -,18,,,,,,,35000000.0,35000000.0,5.0,1.26,9.0,11.0,82.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,4.0,,,,,0.98,7.0,0.42,3.0,1.96,14.0,0.7,2.94,16.94,121.0,23.93,171.0,71.0,0.7,5.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.7,5.0,0.0,0.14,1.0,1.68,60.0,0.42,3.0,0.28,0.0,0.0,,,,0.1,0.14,1.0,1.1,7.7,0.0,0.0,0.0,0.0,,,0.42,3.0,0.0,,0.28,2.0,0.14,0.7,8.0,2.0,0.0,0.4,,0.0,0.42,,0.0,6.0,,0.0,1.0,0.0,,0.0,,,,0.0,0.06,0.4,,,80.38,643.0,,,,,,,,,,,0.0,0.0,,1.0,7.0,0.0,12.0,6.0,0.06,-0.4,0.06,0.44,,6.35,,1.0,- - -,12.0
