Name,Age,Inf,RF Matches,Position,Club,Ability,Potential,Transfer Value (Low),Transfer Value (High),Hdrs A,Tck/90,Tck C,Tck A,Tck R,Shot/90,Shot %,ShT/90,ShT,Shots Outside Box/90,Shts Blckd/90,Shts Blckd,Shots,Svt,Svp,Svh,Sv %,Pr passes/90,Pr Passes,Pres C/90,Pres C,Pres A/90,Pres A,Poss Won/90,Poss Lost/90,Ps C/90,Ps C,Ps A/90,Pas A,Pas %,OP-KP/90,OP-KP,OP-Crs C/90,OP-Crs C,OP-Crs A/90,OP-Crs A,OP-Cr %,Off,Gl Mst,K Tck/90,K Tck,K Ps/90,K Pas,K Hdrs/90,Int/90,Itc,Sprints/90,Hdr %,Hdrs W/90,Hdrs,Hdrs L/90,Goals Outside Box,FK Shots,xSv %,xGP/90,xGP,xG/shot,Drb/90,Drb,Dist/90,Distance,Cr C/90,Cr C,Crs A/90,Cr A,Cr C/A,Conv %,Clr/90,Clear,CCC,Ch C/90,Blk/90,Blk,Asts/90,Aer A/90,Apps (Total),Apps (Sub Apps),Yel,xG,Saves/90,Tgls/90,Tcon/90,Tall,Tgls,Starts,Shutouts,Red,Pts/Gm,PoM,Pen/R,Pens S,Pens Saved Ratio,Pens Saved,Pens Faced,Pens,NP-xG/90,NP-xG,Last Gl,Last C,Mins/Gm,Mins,Last 5 Games,Last 5 FT Games,Int Conc,Int Av Rat,Int Ast,Int Apps (Total),Int Apps (Sub Apps),Gls/90,All/90,Conc,Gls,Won,G. Mis,Lost,D,Gwin,Fls,FA,xG/90,xG-OP,xA/90,xA,Cln/90,Av Rat,Mins/Gl,Ast,Rec,Acc
- -,25,Wnt,,,,,,88000000.0,88000000.0,23.0,3.14,23.0,28.0,82.0,3.96,59.0,2.32,17.0,0.82,0.0,0.0,29.0,,,,,3.0,22.0,3.82,28.0,12.43,91.0,5.87,14.07,35.37,259.0,40.56,297.0,87.0,1.23,9.0,0.27,2.0,1.91,14.0,14.0,0.0,0.0,0.14,1.0,1.23,9.0,0.0,1.37,10.0,15.84,26.0,0.82,6.0,2.32,2.0,0.0,,,,0.11,3.55,26.0,7.8mi,56.8mi,0.27,2.0,1.91,14.0,14.0,21.0,0.96,7.0,1.0,0.14,0.14,1.0,,3.14,24.0,20.0,1.0,3.1,,2.46,0.68,,18.0,4.0,,0.0,1.67,1.0,,0.0,,,,0.0,0.42,3.1,9.0,,27.46,659.0,,,,,,,,0.82,,,6.0,12.0,,8.0,4.0,50.0,4.0,10.0,0.42,2.9,0.26,1.87,,7.23,109.83,0.0,- - -,13.0
- -,31,Int,,,,,,25000000.0,25000000.0,4.0,1.59,2.0,4.0,50.0,,,,,0.0,0.0,0.0,0.0,,,,,6.37,8.0,1.59,2.0,9.56,12.0,18.32,8.76,46.19,58.0,53.36,67.0,87.0,1.59,2.0,0.8,1.0,2.39,3.0,33.0,0.0,0.0,0.0,0.0,2.39,3.0,0.8,,0.0,13.54,75.0,2.39,3.0,0.8,0.0,0.0,,,,0.0,0.8,1.0,8.8mi,11.0mi,0.8,1.0,2.39,3.0,33.0,,0.0,0.0,0.0,,,0.0,,3.19,3.0,2.0,0.0,0.0,,1.59,1.59,,2.0,1.0,,0.0,1.35,0.0,,0.0,,,,0.0,0.0,0.0,,,37.67,113.0,,,,7.12,4.0,19.0,1.0,,,,0.0,1.0,,2.0,0.0,33.0,1.0,2.0,0.0,0.0,0.0,0.0,,6.7,,0.0,- - -,15.0
- -,26,,,,,,,67000000.0,103000000.0,94.0,2.05,60.0,74.0,81.0,2.16,44.0,0.96,28.0,0.51,0.07,2.0,63.0,,,,,2.88,84.0,2.53,74.0,10.62,310.0,5.34,13.25,27.77,811.0,34.11,996.0,81.0,1.54,45.0,0.65,19.0,3.25,95.0,18.0,6.0,0.0,0.0,0.0,1.71,50.0,0.0,1.2,35.0,11.99,19.0,0.62,18.0,2.6,2.0,2.0,,,,0.12,2.71,79.0,6.5mi,190.1mi,0.86,25.0,4.73,138.0,20.0,16.0,0.62,18.0,11.0,0.38,0.24,7.0,0.34,3.22,32.0,1.0,0.0,7.44,,1.37,0.75,,40.0,31.0,,0.0,1.69,5.0,,0.0,,,,0.0,0.25,7.44,0.0,,82.12,2628.0,,,,7.07,1.0,6.0,1.0,0.34,,,10.0,14.0,,6.0,12.0,44.0,25.0,33.0,0.25,2.56,0.17,5.1,,7.36,262.8,10.0,- - -,15.0
- -,25,,,,,,,24000000.0,37000000.0,,,,0.0,,,,,,,,,0.0,12.0,35.0,29.0,71.0,0.28,10.0,0.0,0.0,0.0,0.0,3.42,5.17,25.37,913.0,30.93,1113.0,82.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,89.0,-0.11,-3.79,0.0,,0.0,2.9mi,102.7mi,,,,,,,3.92,,0.0,,,,,,36.0,0.0,2.0,0.0,2.0,0.89,0.89,32.0,32.0,36.0,11.0,0.0,1.19,1.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,184.0,89.97,3239.0,,,,,,,,,1.14,41.0,0.0,8.0,,9.0,19.0,22.0,2.0,12.0,0.0,0.0,0.0,0.0,0.31,6.97,,0.0,- - -,13.0
- -,23,,,,,,,72000000.0,85000000.0,118.0,1.8,49.0,57.0,86.0,1.51,44.0,0.66,18.0,0.55,0.0,0.0,41.0,,,,,2.25,61.0,2.28,62.0,9.53,259.0,7.77,13.1,29.67,806.0,33.83,919.0,88.0,1.62,44.0,0.18,5.0,1.07,29.0,12.0,3.0,0.0,0.04,1.0,1.8,49.0,0.0,1.36,37.0,10.2,25.0,1.07,29.0,3.28,1.0,2.0,,,,0.15,1.18,32.0,8.2mi,222.1mi,0.22,6.0,1.8,49.0,17.0,15.0,0.59,16.0,7.0,0.26,0.11,3.0,0.11,4.34,35.0,6.0,4.0,5.99,,1.4,1.33,,38.0,29.0,,0.0,1.31,1.0,,0.0,,,,0.0,0.22,5.99,226.0,,69.86,2445.0,,,,,,,,0.22,,,6.0,14.0,,17.0,4.0,40.0,25.0,27.0,0.22,0.01,0.15,3.99,,6.86,407.5,3.0,- - -,13.0
- -,23,Int,,,,,,17500000.0,21000000.0,0.0,1.96,59.0,63.0,94.0,0.73,18.0,0.13,4.0,0.0,0.0,0.0,22.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.85,448.0,20.54,620.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,0.13,,0.0,0.0mi,0.0mi,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.1,,31.0,1.0,4.0,2.96,,0.0,0.0,,0.0,30.0,,1.0,1.0,0.0,,0.0,,,,0.0,0.1,2.96,,,87.61,2716.0,,,,6.56,0.0,5.0,0.0,,,,0.0,0.0,,0.0,31.0,0.0,64.0,32.0,0.1,-2.96,0.0,0.0,,7.15,,3.0,- - -,15.0
- -,24,,,,,,,28000000.0,40000000.0,300.0,1.4,68.0,91.0,75.0,0.58,29.0,0.17,8.0,0.12,0.66,32.0,28.0,,,,,3.3,160.0,1.26,61.0,3.32,161.0,14.48,3.63,58.7,2845.0,62.91,3049.0,93.0,0.17,8.0,0.02,1.0,0.17,8.0,13.0,0.0,1.0,0.31,15.0,0.17,8.0,0.85,2.02,98.0,5.01,73.0,4.5,218.0,1.69,1.0,0.0,,,,0.12,0.17,8.0,6.8mi,327.7mi,0.02,1.0,0.17,8.0,12.0,11.0,0.95,46.0,2.0,0.04,0.74,36.0,0.08,6.19,49.0,0.0,3.0,3.22,,1.28,0.91,,62.0,49.0,,0.0,1.69,2.0,,0.0,,,,0.0,0.07,3.22,0.0,,89.02,4362.0,,,,,,,,0.06,,,3.0,23.0,,12.0,14.0,47.0,33.0,13.0,0.07,-0.22,0.05,2.56,,7.08,1454.0,4.0,- - -,13.0
- -,24,Wnt,,,,,,56000000.0,85000000.0,53.0,1.45,47.0,59.0,80.0,1.88,43.0,0.8,26.0,0.34,0.0,0.0,61.0,,,,,1.42,46.0,1.57,51.0,7.02,228.0,4.1,6.19,24.02,780.0,29.37,954.0,82.0,0.62,20.0,0.22,7.0,1.23,40.0,16.0,7.0,0.0,0.0,0.0,0.83,27.0,0.0,0.86,28.0,8.1,19.0,0.31,10.0,1.32,2.0,2.0,,,,0.13,2.09,68.0,4.2mi,135.3mi,0.49,16.0,3.14,102.0,17.0,11.0,0.34,11.0,7.0,0.22,0.25,8.0,0.28,1.63,34.0,0.0,0.0,7.87,,0.8,0.25,,26.0,34.0,,0.0,1.68,8.0,100.0,1.0,,,,1.0,0.22,7.07,0.0,,85.97,2923.0,,,,,,,,0.22,,,7.0,13.0,,3.0,18.0,38.0,31.0,65.0,0.24,-0.87,0.26,8.44,,7.42,417.57,9.0,- - -,15.0
- -,23,Int,Bojan Krkic (2/26/2025),,,,,81000000.0,95000000.0,235.0,1.06,41.0,55.0,75.0,0.64,24.0,0.15,6.0,0.21,0.54,21.0,25.0,,,,,5.0,194.0,1.24,48.0,3.92,152.0,15.25,5.16,69.34,2688.0,74.11,2873.0,94.0,0.39,15.0,0.05,2.0,0.52,20.0,10.0,2.0,0.0,0.15,6.0,0.39,15.0,0.31,2.12,82.0,7.22,70.0,4.23,164.0,1.83,1.0,0.0,,,,0.1,0.39,15.0,7.3mi,284.0mi,0.05,2.0,0.52,20.0,10.0,8.0,1.03,40.0,5.0,0.13,0.44,17.0,0.03,6.06,41.0,0.0,11.0,2.51,,1.5,0.67,,58.0,41.0,,1.0,2.12,3.0,,0.0,,,,0.0,0.06,2.51,1570.0,,85.1,3489.0,,,,6.97,1.0,9.0,0.0,0.05,,,2.0,26.0,,6.0,9.0,63.0,40.0,20.0,0.06,-0.51,0.06,2.25,,7.01,1744.5,1.0,- - -,15.0
- -,23,Int,,,,,,58000000.0,85000000.0,73.0,1.89,76.0,97.0,78.0,1.54,42.0,0.65,26.0,0.12,0.05,2.0,62.0,,,,,2.28,92.0,1.27,51.0,5.36,216.0,6.2,3.5,29.73,1198.0,35.61,1435.0,83.0,0.42,17.0,0.0,0.0,0.22,9.0,0.0,2.0,0.0,0.0,0.0,0.42,17.0,0.07,0.94,38.0,5.96,47.0,0.84,34.0,0.97,1.0,0.0,,,,0.1,0.45,18.0,4.2mi,168.8mi,0.0,0.0,0.25,10.0,,6.0,0.37,15.0,2.0,0.05,0.27,11.0,0.15,1.81,41.0,0.0,1.0,6.43,,0.72,0.6,,29.0,41.0,,0.0,1.17,3.0,,0.0,,,,0.0,0.16,6.43,0.0,,88.46,3627.0,,,,7.2,2.0,7.0,3.0,0.1,,,4.0,8.0,,9.0,24.0,20.0,32.0,55.0,0.16,-2.43,0.1,3.84,,7.16,906.75,6.0,- - -,13.0
- -,24,Int,,,,,,48000000.0,59000000.0,207.0,1.53,45.0,60.0,75.0,0.34,20.0,0.07,2.0,0.07,0.54,16.0,10.0,,,,,5.37,158.0,1.36,40.0,3.67,108.0,13.71,4.97,66.97,1969.0,72.01,2117.0,93.0,0.71,21.0,0.14,4.0,0.92,27.0,15.0,0.0,0.0,0.41,12.0,0.71,21.0,0.61,2.18,64.0,6.84,72.0,5.07,149.0,1.97,0.0,0.0,,,,0.09,0.58,17.0,7.4mi,218.0mi,0.14,4.0,0.92,27.0,14.0,,1.05,31.0,2.0,0.07,0.65,19.0,0.14,7.04,40.0,14.0,3.0,0.89,,1.36,0.68,,40.0,26.0,,0.0,2.0,4.0,,0.0,,,,0.0,0.03,0.89,,,66.15,2646.0,,,,8.8,0.0,2.0,0.0,,,,0.0,23.0,,6.0,11.0,58.0,23.0,14.0,0.03,-0.89,0.07,1.99,,7.16,,4.0,- - -,14.0
- -,24,Int,,,,,,90000000.0,110000000.0,211.0,1.2,44.0,60.0,73.0,3.24,52.0,1.69,62.0,0.98,0.0,0.0,119.0,,,,,1.09,40.0,2.02,74.0,7.08,260.0,2.81,16.19,20.33,746.0,24.11,885.0,84.0,0.82,30.0,0.08,3.0,0.68,25.0,12.0,16.0,0.0,0.0,0.0,0.82,30.0,0.11,0.82,30.0,8.01,27.0,1.58,58.0,4.17,3.0,0.0,,,,0.12,1.04,38.0,7.5mi,273.6mi,0.08,3.0,0.68,25.0,12.0,18.0,0.41,15.0,11.0,0.3,0.05,2.0,0.19,5.75,41.0,1.0,2.0,13.73,,1.8,1.01,,66.0,40.0,,0.0,2.02,4.0,100.0,4.0,,,,4.0,0.37,13.73,284.0,,80.56,3303.0,,,,6.86,0.0,7.0,1.0,0.57,,,21.0,26.0,,10.0,5.0,63.0,35.0,65.0,0.37,7.27,0.12,4.28,,7.09,157.29,7.0,- - -,13.0
- -,23,Wnt,,,,,,51000000.0,61000000.0,105.0,3.29,88.0,104.0,85.0,0.07,100.0,0.07,2.0,0.04,0.41,11.0,2.0,,,,,5.5,147.0,3.29,88.0,13.55,362.0,11.01,11.16,36.61,978.0,41.22,1101.0,89.0,1.8,48.0,0.82,22.0,5.09,136.0,17.0,4.0,0.0,0.07,2.0,1.91,51.0,0.26,2.47,66.0,15.2,39.0,1.53,41.0,2.4,0.0,0.0,,,,0.17,1.95,52.0,8.3mi,222.1mi,0.94,25.0,5.35,143.0,16.0,50.0,1.01,27.0,4.0,0.15,0.6,16.0,0.19,3.93,28.0,0.0,7.0,0.34,,1.35,1.46,,36.0,28.0,,0.0,1.21,1.0,,0.0,,,,0.0,0.01,0.34,449.0,,85.86,2404.0,,,,,,,,0.04,,,1.0,10.0,,14.0,4.0,36.0,42.0,33.0,0.01,0.66,0.15,3.9,,7.01,2404.0,5.0,- - -,15.0
- -,22,,Luis Ferrer (1/9/2025),,,,,56000000.0,80000000.0,0.0,1.77,18.0,27.0,67.0,3.25,55.0,1.77,18.0,0.0,0.0,0.0,33.0,,,,,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.2,14.85,151.0,23.8,242.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.1,,,,,0.0,0.0,,,,0.11,,0.0,0.1mi,0.7mi,0.0,0.0,0.0,0.0,,9.0,0.0,0.0,0.0,,,0.0,0.49,,13.0,4.0,0.0,3.48,,0.0,0.0,,0.0,9.0,,0.0,1.15,0.0,,0.0,,,,0.0,0.34,3.48,0.0,,70.38,915.0,,,,7.15,0.0,2.0,2.0,0.3,,,3.0,1.0,,0.0,12.0,8.0,10.0,20.0,0.34,-0.48,0.1,1.02,,7.22,305.0,5.0,- - -,17.0
- -,23,Wnt,,,,,,67000000.0,67000000.0,84.0,2.08,64.0,86.0,74.0,0.55,18.0,0.1,3.0,0.1,0.03,1.0,17.0,,,,,5.33,164.0,2.5,77.0,8.48,261.0,12.96,3.9,48.26,1486.0,53.14,1636.0,91.0,1.1,34.0,0.06,2.0,0.19,6.0,33.0,1.0,0.0,0.13,4.0,1.1,34.0,0.13,1.46,45.0,10.17,37.0,1.01,31.0,1.72,0.0,0.0,,,,0.17,0.88,27.0,6.9mi,211.5mi,0.06,2.0,0.19,6.0,33.0,6.0,0.71,22.0,9.0,0.29,0.26,8.0,,2.73,32.0,0.0,2.0,2.86,,0.97,0.75,,30.0,32.0,,0.0,1.38,1.0,,0.0,,,,0.0,0.09,2.86,0.0,,86.59,2771.0,,,,7.07,2.0,8.0,3.0,0.03,,,1.0,10.0,,8.0,14.0,31.0,26.0,32.0,0.09,-1.86,0.1,3.16,,7.04,2771.0,0.0,- - -,14.0
- -,24,Int,,,,,,125000000.0,150000000.0,259.0,1.3,56.0,72.0,78.0,0.28,42.0,0.12,5.0,0.07,0.35,15.0,12.0,,,,,5.11,221.0,1.06,46.0,3.59,155.0,14.23,4.44,62.93,2720.0,67.53,2919.0,93.0,0.39,17.0,0.07,3.0,0.23,10.0,30.0,0.0,1.0,0.23,10.0,0.39,17.0,0.42,2.17,94.0,6.32,69.0,4.12,178.0,1.87,0.0,0.0,,,,0.07,0.37,16.0,7.6mi,327.0mi,0.07,3.0,0.23,10.0,30.0,,1.16,50.0,4.0,0.09,0.65,28.0,0.02,5.99,45.0,1.0,4.0,0.85,,1.57,1.04,,68.0,44.0,,0.0,1.73,1.0,,0.0,,,,0.0,0.02,0.85,,,86.44,3890.0,,,,6.83,0.0,8.0,1.0,,,,0.0,23.0,,13.0,9.0,51.0,24.0,9.0,0.02,-0.85,0.05,2.06,,6.93,,1.0,- - -,16.0
- -,30,,,,,,,69000000.0,98000000.0,121.0,2.04,81.0,125.0,65.0,0.78,45.0,0.35,14.0,0.33,0.03,1.0,31.0,,,,,4.84,192.0,2.8,111.0,10.92,433.0,11.96,9.01,43.34,1718.0,49.79,1974.0,87.0,1.03,41.0,0.3,12.0,2.3,91.0,13.0,4.0,0.0,0.1,4.0,1.03,41.0,0.1,1.99,79.0,14.55,42.0,1.29,51.0,1.77,0.0,0.0,,,,0.08,0.68,27.0,8.1mi,319.6mi,0.3,12.0,2.3,91.0,13.0,10.0,0.88,35.0,9.0,0.23,0.43,17.0,0.15,3.05,43.0,2.0,9.0,2.59,,1.36,0.76,,54.0,41.0,,0.0,1.74,5.0,,0.0,,,,0.0,0.07,2.59,633.0,,82.98,3568.0,,,,,,,,0.08,,,3.0,21.0,,10.0,12.0,49.0,52.0,35.0,0.07,0.41,0.14,5.5,,6.93,1189.33,6.0,- - -,13.0
- -,26,Int,,,,,,56000000.0,86000000.0,214.0,1.06,38.0,46.0,83.0,0.39,50.0,0.19,7.0,0.06,0.7,25.0,14.0,,,,,4.73,170.0,0.89,32.0,2.75,99.0,14.77,3.87,66.36,2386.0,71.37,2566.0,93.0,0.28,10.0,0.0,0.0,0.08,3.0,0.0,2.0,1.0,0.31,11.0,0.28,10.0,0.61,2.11,76.0,4.84,70.0,4.14,149.0,1.81,0.0,0.0,,,,0.14,0.19,7.0,7.0mi,251.0mi,0.0,0.0,0.08,3.0,,14.0,0.58,21.0,7.0,0.19,0.58,21.0,0.03,5.95,39.0,4.0,0.0,1.99,,1.59,0.72,,57.0,35.0,,0.0,2.15,1.0,100.0,1.0,,,,1.0,0.03,1.2,801.0,,82.97,3236.0,,,,7.13,0.0,7.0,0.0,0.06,,,2.0,25.0,,5.0,9.0,64.0,18.0,14.0,0.06,0.01,0.02,0.84,,7.03,1618.0,1.0,- - -,13.0
- -,23,,,,,,,117000000.0,117000000.0,132.0,2.09,76.0,97.0,78.0,1.7,39.0,0.66,24.0,0.63,0.0,0.0,62.0,,,,,2.91,106.0,3.62,132.0,13.25,483.0,4.69,15.86,31.75,1157.0,37.32,1360.0,85.0,1.23,45.0,0.58,21.0,3.27,119.0,17.0,7.0,0.0,0.03,1.0,1.23,45.0,0.03,1.89,69.0,14.1,31.0,1.12,41.0,2.5,0.0,5.0,,,,0.11,4.69,171.0,7.8mi,283.3mi,0.58,21.0,3.32,121.0,17.0,11.0,0.58,21.0,10.0,0.27,0.3,11.0,0.08,3.62,39.0,0.0,1.0,6.56,,1.26,1.29,,46.0,39.0,,0.0,1.64,5.0,,0.0,,,,0.0,0.18,6.56,100.0,,84.1,3280.0,,,,6.93,1.0,7.0,1.0,0.19,,,7.0,19.0,,13.0,7.0,49.0,51.0,68.0,0.18,0.44,0.1,3.77,,7.15,468.57,3.0,- - -,16.0
- -,19,Int,,,,,,19000000.0,27000000.0,55.0,1.5,40.0,53.0,75.0,2.03,39.0,0.79,21.0,0.41,0.0,0.0,54.0,,,,,1.05,28.0,1.8,48.0,6.01,160.0,2.59,4.65,20.42,544.0,26.2,698.0,78.0,0.68,18.0,0.23,6.0,1.01,27.0,18.0,9.0,0.0,0.0,0.0,0.71,19.0,0.04,0.94,25.0,6.31,20.0,0.41,11.0,1.65,2.0,1.0,,,,0.13,1.46,39.0,3.2mi,85.5mi,0.23,6.0,1.24,33.0,22.0,9.0,0.3,8.0,6.0,0.23,0.04,1.0,0.15,2.06,28.0,0.0,0.0,6.94,,0.56,0.75,,15.0,28.0,,0.0,1.11,2.0,,0.0,,,,0.0,0.26,6.94,0.0,,85.64,2398.0,,,,7.08,0.0,5.0,3.0,0.19,,,5.0,4.0,,5.0,19.0,14.0,28.0,39.0,0.26,-1.94,0.14,3.86,,7.24,479.6,4.0,- - -,14.0
- -,20,,Luis Ferrer (5/1/2025),,,,,62000000.0,88000000.0,31.0,1.61,26.0,29.0,90.0,1.86,53.0,0.99,16.0,0.19,0.12,2.0,30.0,,,,,1.18,19.0,1.67,27.0,6.32,102.0,3.35,8.99,23.06,372.0,28.02,452.0,82.0,0.74,12.0,0.0,0.0,0.56,9.0,0.0,2.0,0.0,0.06,1.0,0.74,12.0,0.0,1.12,18.0,8.43,6.0,0.12,2.0,1.8,0.0,0.0,,,,0.1,0.99,16.0,4.9mi,78.4mi,0.0,0.0,0.62,10.0,,7.0,0.43,7.0,2.0,0.12,0.25,4.0,0.12,1.92,18.0,1.0,1.0,2.96,,0.93,0.37,,15.0,17.0,,0.0,1.5,1.0,,0.0,,,,0.0,0.18,2.96,0.0,,80.67,1452.0,,,,,,,,0.12,,,2.0,6.0,,3.0,9.0,33.0,15.0,15.0,0.18,-0.96,0.17,2.75,,7.1,726.0,2.0,- - -,14.0
- -,24,,,,,,,44000000.0,63000000.0,111.0,3.15,82.0,93.0,88.0,1.35,40.0,0.54,14.0,0.5,0.0,0.0,35.0,,,,,2.31,60.0,3.77,98.0,14.06,366.0,4.77,17.64,28.13,732.0,32.55,847.0,86.0,1.15,30.0,0.38,10.0,3.04,79.0,16.0,6.0,0.0,0.08,2.0,1.42,37.0,0.0,2.11,55.0,14.03,32.0,1.35,35.0,2.92,4.0,3.0,,,,0.1,3.77,98.0,7.6mi,197.6mi,0.54,14.0,3.46,90.0,12.0,14.0,0.85,22.0,6.0,0.23,0.35,9.0,0.15,4.27,34.0,0.0,0.0,3.67,,1.11,1.35,,29.0,34.0,,0.0,1.21,2.0,,0.0,,,,0.0,0.14,3.67,183.0,,68.88,2342.0,,,,,,,,0.19,,,5.0,10.0,,13.0,11.0,29.0,26.0,47.0,0.14,1.33,0.17,4.43,,7.01,468.4,4.0,- - -,16.0
- -,28,,,,,,,42000000.0,66000000.0,97.0,2.08,87.0,120.0,73.0,1.39,38.0,0.53,22.0,0.6,0.07,3.0,58.0,,,,,3.97,166.0,2.97,124.0,11.12,465.0,14.49,11.1,46.81,1957.0,53.34,2230.0,88.0,1.44,60.0,0.12,5.0,0.65,27.0,16.0,3.0,0.0,0.1,4.0,1.53,64.0,0.02,1.94,81.0,11.84,39.0,0.91,38.0,1.41,2.0,0.0,,,,0.09,1.0,42.0,8.0mi,334.6mi,0.91,38.0,5.79,242.0,18.0,10.0,0.72,30.0,14.0,0.33,0.26,11.0,0.1,2.32,46.0,0.0,4.0,5.33,,1.58,1.12,,66.0,46.0,,1.0,1.76,1.0,,0.0,,,,0.0,0.13,5.33,179.0,,81.8,3763.0,,,,,,,,0.14,,,6.0,23.0,,11.0,12.0,50.0,36.0,33.0,0.13,0.67,0.21,8.94,,7.03,627.17,4.0,- - -,12-14
- -,24,,,,,,,49000000.0,60000000.0,154.0,2.05,77.0,92.0,84.0,1.36,45.0,0.61,23.0,0.43,0.0,0.0,51.0,,,,,2.19,82.0,2.91,109.0,11.84,444.0,9.6,17.17,30.79,1155.0,36.74,1378.0,84.0,1.15,43.0,0.19,7.0,1.33,50.0,14.0,8.0,0.0,0.0,0.0,1.17,44.0,0.08,1.49,56.0,13.78,18.0,0.72,27.0,3.39,2.0,4.0,,,,0.13,1.97,74.0,8.1mi,302.2mi,0.21,8.0,1.49,56.0,14.0,16.0,0.69,26.0,7.0,0.19,0.24,9.0,0.05,4.11,40.0,0.0,3.0,6.68,,1.04,1.44,,39.0,40.0,,0.0,1.12,0.0,,0.0,,,,0.0,0.18,6.68,656.0,,84.4,3376.0,,,,7.05,0.0,6.0,5.0,0.21,,,8.0,11.0,,17.0,12.0,28.0,25.0,38.0,0.18,1.32,0.1,3.74,,6.83,422.0,2.0,- - -,15.0
- -,26,,,,,,,42000000.0,50000000.0,102.0,2.26,75.0,94.0,80.0,0.27,22.0,0.06,2.0,0.09,0.21,7.0,9.0,,,,,6.06,201.0,2.74,91.0,9.82,326.0,14.16,5.21,51.58,1712.0,57.88,1921.0,89.0,1.14,38.0,0.0,0.0,0.24,8.0,0.0,0.0,0.0,0.18,6.0,1.14,38.0,0.15,1.93,64.0,13.29,47.0,1.45,48.0,1.63,0.0,0.0,,,,0.13,0.81,27.0,8.2mi,272.2mi,0.0,0.0,0.24,8.0,,,0.57,19.0,16.0,0.48,0.45,15.0,0.27,3.07,35.0,0.0,6.0,1.17,,1.11,1.33,,37.0,35.0,,1.0,1.26,1.0,,0.0,,,,0.0,0.04,1.17,,,85.34,2987.0,,,,,,,,,,,0.0,12.0,,15.0,8.0,34.0,64.0,20.0,0.04,-1.17,0.29,9.76,,6.96,,9.0,- - -,12.0
- -,27,Int,,,,,,22000000.0,35000000.0,70.0,2.36,74.0,102.0,73.0,0.41,31.0,0.13,4.0,0.16,0.1,3.0,13.0,,,,,5.58,175.0,3.06,96.0,10.58,332.0,10.43,5.87,52.35,1642.0,57.64,1808.0,91.0,0.96,30.0,0.19,6.0,0.45,14.0,43.0,2.0,0.0,0.06,2.0,0.96,30.0,0.03,2.01,63.0,12.24,56.0,1.24,39.0,0.99,1.0,0.0,,,,0.08,0.67,21.0,8.2mi,257.6mi,0.19,6.0,0.45,14.0,42.0,,0.8,25.0,8.0,0.26,0.48,15.0,0.19,2.23,36.0,2.0,3.0,0.99,,1.18,1.43,,37.0,34.0,,0.0,1.22,1.0,,0.0,,,,0.0,0.03,0.99,,,78.42,2823.0,,,,7.04,0.0,6.0,0.0,,,,0.0,12.0,,16.0,8.0,33.0,53.0,27.0,0.03,-0.99,0.17,5.28,,6.85,,6.0,- - -,13-15
- -,27,,,,,,,41000000.0,65000000.0,,0.06,2.0,4.0,50.0,,,,,,,,0.0,15.0,59.0,26.0,73.0,0.3,11.0,0.0,0.0,0.0,0.0,4.62,9.58,22.62,822.0,26.59,966.0,85.0,0.0,0.0,,,,,,0.0,2.0,0.0,0.0,,0.0,0.0,0.03,1.0,0.06,,,,,,,86.0,-0.1,-3.71,0.0,,0.0,3.8mi,139.1mi,,,,,,,1.43,,0.0,,,,,,36.0,0.0,0.0,0.0,2.0,1.76,1.1,40.0,64.0,36.0,11.0,0.0,1.89,1.0,,0.0,50.0,2.0,4.0,0.0,0.0,0.0,,88.0,90.83,3270.0,,,4.0,6.77,0.0,3.0,0.0,,1.1,40.0,0.0,20.0,,8.0,8.0,56.0,0.0,3.0,0.0,0.0,0.0,0.0,0.3,6.81,,0.0,- - -,7-10
- -,25,Wnt,,,,,,45000000.0,59000000.0,219.0,1.67,55.0,65.0,85.0,0.3,30.0,0.09,3.0,0.09,0.91,30.0,10.0,,,,,5.21,172.0,1.61,53.0,3.58,118.0,17.42,2.73,64.12,2116.0,67.24,2219.0,95.0,0.3,10.0,0.03,1.0,0.12,4.0,25.0,2.0,1.0,0.33,11.0,0.3,10.0,0.94,1.61,53.0,4.58,74.0,4.94,163.0,1.7,0.0,0.0,,,,0.11,0.24,8.0,7.1mi,234.3mi,0.03,1.0,0.12,4.0,25.0,10.0,0.64,21.0,2.0,0.06,0.39,13.0,0.15,6.64,33.0,0.0,10.0,1.06,,1.06,1.09,,35.0,33.0,,0.0,1.33,3.0,,0.0,,,,0.0,0.03,1.06,75.0,,90.0,2970.0,,,,,,,,0.03,,,1.0,12.0,,13.0,8.0,36.0,37.0,13.0,0.03,-0.06,0.05,1.54,,7.06,2970.0,5.0,- - -,13-16
