Season,Name,Club,Position,Position Selected,Age,Inf,Type,Nat,Transfer Value (Low),Transfer Value (High),Salary,Begins,Expires,Transfer Fees Received,Apps (Total),Apps (Sub Apps),Starts,Gls,Ast,Av Rat,Yel,Red,PoM,Agreed Playing Time,Home Grown Status,Personality,Det,Injury,Injury Risk,Int Apps (Total),Int Apps (Sub Apps),Acceleration,Aerial Reach,Aggression,Agility,Anticipation,Balance,Bravery,Command of Area,Communication,Composure,Concentration,Corners,Crossing,Decisions,Dribbling,Eccentricity,Finishing,First Touch,Flair,Free Kick Taking,Handling,Heading,Jumping Reach,Kicking,Leadership,Long Shots,Long Throws,Marking,Natural Fitness,Off The Ball,One on Ones,Pace,Passing,Penalty Taking,Positioning,Punching (Tendency),Reflexes,Rushing Out (Tendency),Stamina,Strength,Tackling,Teamwork,Technique,Throwing,Vision,Work Rate
2024-25,Rafa Marín,R. Madrid,D (C),S5,23,,Full Contract,ESP,18000000.0,26000000.0,4575000.0,7/21/2024,6/30/2029,0.0,10.0,3.0,7.0,1.0,0.0,7.12,1.0,0.0,1.0,Squad Player,Trained at club (15-21),Fairly Determined,15.0,,,1.0,0.0,12.0,2.0,12.0,13.0,15.0,13.0,15.0,3.0,1.0,14.0,14.0,7.0,7.0,13.0,10.0,2.0,9.0,12.0,4.0,8.0,2.0,15.0,16.0,1.0,15.0,7.0,14.0,13.0,14.0,7.0,1.0,13.0,12.0,10.0,14.0,1.0,1.0,1.0,15.0,16.0,14.0,13.0,12.0,1.0,10.0,14.0
2024-25,Antonio Rüdiger,R. Madrid,D (RC),DR,32,,Full Contract,GER,60000000.0,92000000.0,15491000.0,6/2/2022,6/30/2026,49500000.0,53.0,2.0,51.0,1.0,5.0,7.0,11.0,0.0,1.0,Regular Starter,,Ambitious,17.0,,,,,17.0,2-4,18.0,10-12,15.0,16-18,18.0,1-4,1-4,13.0,15.0,3-5,10-12,16.0,8-10,1-3,6-8,10.0,7-9,8-10,2-4,15.0,15.0,1-2,18.0,6-9,13-16,15.0,15.0,7-9,1-2,16.0,12.0,6-8,14.0,1-3,1-3,2-4,16.0,18.0,17.0,13.0,11.0,1-4,9-11,15.0
2024-25,Sinaly Diomandé,R. Madrid,D (C),S7,24,Trv,Full Contract,CIV,8800000.0,8800000.0,5032000.0,1/9/2024,6/30/2027,8500000.0,3.0,3.0,,0.0,0.0,6.45,1.0,0.0,0.0,Scouting Required,,,14.0,,,3.0,2.0,14-17,1-4,12-15,10-14,13-17,13-16,13-16,1-3,1-5,12-16,7-10,3-6,8-11,9-13,7-11,1.0,5-8,11-15,8-11,6-9,2-5,16.0,14.0,1-5,11-14,5-9,10-14,13.0,13-16,9-13,1.0,14-17,13-16,6-10,12.0,1-2,1-4,1-3,10-14,13-17,14.0,13-16,10-14,1-5,10-13,12-16
2024-25,Éder Militão,R. Madrid,D (C),DCR,27,Trv,Full Contract,BRA,144000000.0,213000000.0,9920000.0,7/10/2023,6/30/2028,59000000.0,54.0,0.0,54.0,4.0,1.0,7.15,10.0,0.0,1.0,Regular Starter,,Spirited,15.0,,,9.0,0.0,16.0,3.0,15.0,15.0,16.0,15.0,16.0,2.0,1.0,13.0,13.0,8.0,9.0,14.0,12.0,1.0,7.0,12.0,10.0,10.0,4.0,15.0,15.0,1.0,16.0,10.0,10.0,15.0,18.0,12.0,2.0,15.0,14.0,12.0,16.0,3.0,1.0,1.0,16.0,15.0,16.0,14.0,12.0,4.0,12.0,16.0
2024-25,Montassar Talbi,R. Madrid,D (C),S4,27,Trv,Full Contract,TUN,18000000.0,18000000.0,5010000.0,1/13/2024,6/30/2027,29500000.0,8.0,6.0,2.0,0.0,0.0,6.58,1.0,0.0,0.0,Squad Player,,Fairly Sporting,14.0,,,8.0,0.0,12.0,2.0,13.0,13.0,15.0,15.0,16.0,2.0,1.0,14.0,14.0,6.0,8.0,13.0,11.0,1.0,8.0,12.0,8.0,7.0,3.0,15.0,16.0,2.0,13.0,8.0,9.0,14.0,15.0,9.0,2.0,13.0,13.0,4.0,15.0,3.0,2.0,1.0,15.0,13.0,14.0,14.0,13.0,1.0,12.0,13.0
2024-25,José Luis,R. Madrid,D (R),,16,Unr,Full Contract,ESP,Unknown,Unknown,3600.0,3/29/2025,6/30/2029,0.0,,,,,,,,,,Scouting Required,,,1-11,,Low,,,7-15,,1-5,,9-17,,,,,,,,,4-10,,,,6-16,,,,2-8,2-12,,,,,10-20,,,,6-12,4-12,,1-9,,,,11-17,1-7,2-8,1-6,12-18,,,6-12
2024-25,Melvin Ukpeigbe,R. Madrid C,D (R),,18,Unr,Full Contract,ESP,1300000.0,2700000.0,3600.0,7/11/2022,6/30/2027,0.0,,,,,,,,,,Youngster,,Balanced,14.0,,Increased,,,10.0,2.0,5.0,13.0,10.0,10.0,10.0,2.0,2.0,8.0,13.0,5.0,12.0,15.0,4.0,2.0,5.0,13.0,5.0,3.0,1.0,9.0,10.0,3.0,10.0,4.0,8.0,11.0,15.0,8.0,1.0,13.0,6.0,5.0,10.0,1.0,2.0,4.0,12.0,9.0,10.0,8.0,9.0,3.0,9.0,10.0
2024-25,François Sarr,R. Madrid,GK,,15,Yth,Full Contract,ESP,Unknown,Unknown,3600.0,3/29/2025,6/30/2029,0.0,,,,,,,,,,Scouting Required,,,,,,,,,5-13,,3-11,1-8,5-13,9-17,6-12,6-12,,1-10,,,3-9,,1-3,,,,,7-17,,,1-9,,,,,,,1-8,,,,9-17,4-10,11-19,5-13,,,,,,6-12,,
2024-25,Illia Voloshyn,R. Madrid,GK,,18,,Full Contract,UKR,425000.0,4200000.0,666000.0,6/12/2024,6/30/2027,0.0,,,,,,,,,,Scouting Required,,,,,,,,,13-20,,6-12,6-12,8-14,10-16,10-18,4-10,4-10,9-15,,,10-18,,14-20,,6-12,,,10-18,,,5-11,4-12,,,,,,9-15,,,,11-17,11-19,12-18,4-12,,,,,,7-13,,
2024-25,Álvaro González,R. Madrid,GK,,18,,Full Contract,ESP,Unknown,Unknown,19500.0,7/11/2022,6/30/2026,0.0,,,,,,,,,,Scouting Required,Trained at club (15-21),,,,,,,,8-16,,6-13,1-4,8-15,13-20,4-10,7-13,,5-14,,,9-15,,2-11,,,,,12-20,,,3-10,,,,,,,3-12,,,,6-13,1-7,12-19,7-15,,,,,,7-13,,
2024-25,Fran,R. Madrid C,GK,,19,Unr,Full Contract,ESP,10000.0,100000.0,16000.0,6/30/2022,6/30/2025,0.0,5.0,0.0,5.0,0.0,0.0,6.9,0.0,0.0,1.0,Scouting Required,Trained in nation (15-21),,1-8,,Increased,,,10-15,16-20,15-20,2-8,8-14,5-10,7-12,4-11,8-15,5-12,7-12,1-5,2-7,9-16,1-5,1-5,1-3,1-7,1.0,2-7,5-10,1-4,13-18,10-16,11-16,1-4,1-6,1-3,10-15,1-6,4-9,4-9,11-16,1-6,10-15,2-9,10-15,3-8,1-5,13-20,1-6,5-10,1-4,6-13,6-11,1-7
2024-25,Guillermo Ruiz,R. Madrid B,GK,,21,Unr,Full Contract,ESP,22000.0,210000.0,16000.0,7/1/2022,6/30/2026,0.0,,,,,,,,,,Scouting Required,Trained in nation (15-21),,8-12,,Increased,,,8-11,9-12,6-9,15-18,8-11,6-10,10-14,10.0,9-13,5-9,7-11,5-9,1-3,13-16,2-5,4-8,1-4,1-4,1-4,2-6,13.0,1-2,12-16,7.0,6-9,1-4,1-3,2-6,11-14,3-6,9-13,8-11,5-8,2-5,4-8,6.0,9-13,7-10,1-4,5-9,1-2,1-3,1-3,7.0,5-8,5-8
2024-25,Ferrán Quetglás,R. Madrid C,GK,,19,Unr,Full Contract,ESP,180000.0,1800000.0,774000.0,12/14/2023,6/30/2026,0.0,19.0,0.0,19.0,0.0,0.0,6.88,2.0,0.0,0.0,Scouting Required,Trained at club (15-21),,9-13,,Low,,,8-13,13-17,1-6,6-11,8-13,6-10,11-15,13.0,8-12,5-9,9-13,5-9,1-2,11-17,1-5,4-8,1-3,1-4,1-5,1-5,13.0,1-5,13-17,13.0,8-13,1-5,1-3,2-6,9-14,1-5,8-12,13-17,1-6,1-6,7-11,9.0,9-13,13-17,4-10,3-7,3-7,8-12,4-10,12.0,7-11,3-9
2024-25,Diego Piñeiro,R. Madrid B,GK,,21,Unr,Full Contract,ESP,35000.0,325000.0,33000.0,7/1/2020,6/30/2025,0.0,,,,,,,,,,Youngster,Trained at club (15-21),Balanced,10.0,,Increased,,,11.0,11.0,14.0,12.0,11.0,11.0,11.0,11.0,13.0,9.0,9.0,5.0,1.0,15.0,2.0,5.0,3.0,3.0,3.0,4.0,9.0,1.0,13.0,14.0,3.0,2.0,3.0,1.0,11.0,3.0,10.0,11.0,8.0,2.0,9.0,9.0,12.0,5.0,7.0,9.0,3.0,9.0,6.0,12.0,10.0,8.0
2024-25,Mario De Luis,R. Madrid B,GK,,23,Unr,Full Contract,ESP,110000.0,1100000.0,186000.0,3/9/2023,6/30/2025,0.0,19.0,4.0,15.0,0.0,0.0,7.24,0.0,0.0,3.0,Emergency Backup,Trained in nation (15-21),Balanced,5.0,,Increased,,,13.0,14.0,6.0,13.0,9.0,11.0,14.0,12.0,13.0,10.0,11.0,5.0,1.0,13.0,3.0,5.0,3.0,5.0,1.0,5.0,12.0,1.0,14.0,12.0,15.0,2.0,3.0,1.0,12.0,1.0,14.0,11.0,10.0,3.0,10.0,13.0,14.0,14.0,9.0,8.0,3.0,5.0,9.0,9.0,6.0,8.0
2024-25,Andriy Lunin,R. Madrid,GK,S1,26,,Full Contract,UKR,26000000.0,30000000.0,4084000.0,12/29/2023,6/30/2027,9500000.0,15.0,2.0,13.0,0.0,0.0,6.99,0.0,0.0,0.0,Backup,,Spirited,15.0,,,,,14.0,15.0,5.0,15.0,13.0,12.0,12.0,15.0,16.0,13.0,13.0,4.0,1.0,14.0,3.0,12.0,2.0,12.0,1.0,4.0,13.0,9.0,16.0,12.0,9.0,3.0,1.0,2.0,14.0,3.0,16.0,11.0,12.0,3.0,13.0,14.0,16.0,13.0,14.0,12.0,1.0,13.0,10.0,12.0,12.0,14.0
2024-25,Lucas Cañizares,R. Madrid B,GK,,23,Ine,Full Contract,ESP,190000.0,600000.0,1107000.0,1/3/2024,6/30/2026,0.0,23.0,0.0,23.0,0.0,0.0,6.99,2.0,0.0,1.0,Future Prospect,Trained at club (15-21),Balanced,14.0,,Increased,,,10.0,16.0,6.0,13.0,11.0,10.0,12.0,13.0,12.0,11.0,10.0,5.0,1.0,10.0,2.0,6.0,2.0,11.0,2.0,7.0,14.0,7.0,16.0,9.0,14.0,1.0,3.0,1.0,8.0,2.0,12.0,12.0,11.0,3.0,11.0,9.0,12.0,12.0,11.0,13.0,3.0,11.0,11.0,12.0,9.0,13.0
2024-25,Thibaut Courtois,R. Madrid,GK,GK,33,,Full Contract,BEL,Not for Sale,Not for Sale,19904000.0,4/21/2025,6/30/2028,53000000.0,48.0,0.0,48.0,0.0,0.0,7.1,0.0,0.0,1.0,Important Player,,Spirited,16.0,,,8.0,0.0,11.0,19.0,8.0,12.0,15.0,13.0,14.0,16.0,14.0,12.0,16.0,6.0,2.0,16.0,10.0,5.0,1.0,10.0,14.0,6.0,16.0,10.0,18.0,16.0,13.0,2.0,3.0,2.0,12.0,1.0,18.0,10.0,13.0,1.0,16.0,6.0,19.0,12.0,8.0,13.0,1.0,14.0,12.0,15.0,9.0,11.0
